Release 3 - Nutrient profiles (per 100 g),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262,Unnamed: 263,Unnamed: 264,Unnamed: 265,Unnamed: 266,Unnamed: 267,Unnamed: 268,Unnamed: 269,Unnamed: 270,Unnamed: 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Food Key,Classification,Derivation,Food Name,"Energy with dietary fibre, equated 
(kJ)","Energy, without dietary fibre, equated 
(kJ)","Moisture (water) 
(g)","Protein 
(g)","Nitrogen 
(g)","Fat, total 
(g)","Ash 
(g)","Total dietary fibre 
(g)","Alcohol 
(g)","Fructose 
(g)","Glucose 
(g)","Sucrose
(g)","Maltose 
(g)","Lactose 
(g)","Galactose 
(g)",Total sugars (g),Added sugars (g),"Free sugars 
(g)","Starch 
(g)","Dextrin 
(g)","Glycerol 
(g)","Glycogen 
(g)","Inulin 
(g)","Erythritol 
(g)","Maltitol 
(g)","Mannitol 
(g)","Xylitol 
(g)",Maltodextrin (g),"Oligosaccharides  
(g)","Polydextrose 
(g)","Raffinose 
(g)","Stachyose 
(g)","Sorbitol 
(g)","Resistant starch 
(g)","Available carbohydrate, without sugar alcohols 
(g)","Available carbohydrate, with sugar alcohols 
(g)","Acetic acid 
(g)","Citric acid 
(g)","Fumaric acid 
(g)","Lactic acid 
(g)","Malic acid
 (g)","Oxalic acid 
(g)","Propionic acid 
(g)","Quinic acid 
(g)","Shikimic acid 
(g)","Succinic acid 
(g)","Tartaric acid 
(g)","Aluminium (Al) 
(ug)","Antimony (Sb) 
(ug)","Arsenic (As) 
(ug)","Cadmium (Cd) 
(ug)","Calcium (Ca) 
(mg)","Chromium (Cr) 
(ug)","Chloride (Cl) 
(mg)","Cobalt (Co) 
(ug)","Copper (Cu) 
(mg)","Fluoride (F) 
(ug)","Iodine (I) 
(ug)","Iron (Fe) 
(mg)","Lead (Pb) 
(ug)","Magnesium (Mg) 
(mg)","Manganese (Mn) 
(mg)","Mercury (Hg) 
(ug)","Molybdenum (Mo) 
(ug)","Nickel (Ni) 
(ug)","Phosphorus (P) 
(mg)","Potassium (K) 
(mg)","Selenium (Se) 
(ug)","Sodium (Na) 
(mg)","Sulphur (S) 
(mg)","Tin (Sn) 
(ug)","Zinc (Zn) 
(mg)","Retinol (preformed vitamin A) 
(ug)","Alpha-carotene 
(ug)","Beta-carotene 
(ug)","Cryptoxanthin 
(ug)","Beta-carotene equivalents (provitamin A) 
(ug)","Vitamin A retinol equivalents 
(ug)","Lutein 
(ug)","Lycopene 
(ug)","Xanthophyl 
(ug)","Thiamin (B1) 
(mg)","Riboflavin (B2) 
(mg)","Niacin (B3) 
(mg)","Niacin derived from tryptophan 
(mg)","Niacin derived equivalents 
(mg)","Pantothenic acid (B5) 
(mg)","Pyridoxine (B6) 
(mg)","Biotin (B7) 
(ug)","Cobalamin (B12) 
(ug)","Folate, natural 
(ug)","Folic acid 
(ug)","Total folates 
(ug)","Dietary folate equivalents 
(ug)","Vitamin C 
(mg)","Cholecalciferol (D3) 
(ug)","Ergocalciferol (D2) 
(ug)","25-hydroxy cholecalciferol (25-OH D3) 
(ug)","25-hydroxy ergocalciferol (25-OH D2) 
(ug)","Vitamin D3 equivalents 
(ug)","Alpha tocopherol 
(mg)","Alpha tocotrienol 
(mg)","Beta tocopherol 
(mg)","Beta tocotrienol 
(mg)","Delta tocopherol 
(mg)","Delta tocotrienol 
(mg)","Gamma tocopherol 
(mg)","Gamma tocotrienol 
(mg)","Vitamin E 
(mg)",C4 (%T),C6 (%T),C8 (%T),C10 (%T),C11 (%T),C12 (%T),C13 (%T),C14 (%T),C15 (%T),C16 (%T),C17 (%T),C18 (%T),C19 (%T),C20 (%T),C21 (%T),C22 (%T),C23 (%T),C24 (%T),"Total saturated fatty acids, equated (%T)",C12:1 (%T),C14:1 (%T),C15:1 (%T),C16:1 (%T),C17:1 (%T),C18:1 (%T),C18:1w7 (%T),C20:1 (%T),C20:1w11 (%T),C22:1 (%T),C22:1w11 (%T),C24:1 (%T),"Total monounsaturated fatty acids, equated (%T)",C12:2 (%T),C16:2w4 (%T),C16:3 (%T),C18:2w6 (%T),C18:3w3 (%T),C18:3w4 (%T),C18:3w6 (%T),C18:4w1 (%T),C18:4w3 (%T),C20:2 (%T),C20:2w6 (%T),C20:4 (%T),C20:3w3 (%T),C20:3w6 (%T),C20:4w3 (%T),C20:4w6 (%T),C20:5w3 (%T),C21:5w3 (%T),C22:2 (%T),C22:2w6 (%T),C22:4w6 (%T),C22:5w3 (%T),C22:5w6 (%T),C22:6w3 (%T),"Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated 
(%T)","Total undifferentiated fatty acids 
(%T)","Total trans fatty acids, imputed 
(%T)",C4 (g),C6 (g),C8 (g),C10 (g),C11 (g),C12 (g),C13 (g),C14 (g),C15 (g),C16 (g),C17 (g),C18 (g),C19 (g),C20 (g),C21 (g),C22 (g),C23 (g),C24 (g),"Total saturated fatty acids, equated 
(g)",C12:1 (g),C14:1 (g),C15:1 (g),C16:1 (g),C17:1 (g),C18:1 (g),C18:1w7 (g),C20:1 (g),C20:1w11 (mg),C22:1 (g),C22:1w11 (mg),C24:1 (g),"Total monounsaturated fatty acids, equated 
(g)",C12:2 (g),C16:2w4 (mg),C16:3 (g),C18:2w6 (g),C18:3w3 (g),C18:3w4 (g),C18:3w6 (mg),C18:4w1 (g),C18:4w3 (mg),C20:2 (mg),C20:2w6 (mg),C20:3 (mg),C20:3w3 (mg),C20:3w6 (mg),C20:4 (g),C20:4w3 (mg),C20:4w6 (mg),C20:5w3 (mg),C21:5w3 (g),C22:5w3 (mg),C22:4w6 (mg),C22:2 (g),C22:2w6 (mg),C22:5w6 (g),C22:6w3 (mg),"Total polyunsaturated fatty acids, equated 
(g)","Total long chain omega 3 fatty acids, equated 
(mg)","Total undifferentiated fatty acids, mass basis
(mg)","Total trans fatty acids, imputed 
(mg)","Caffeine 
(mg)","Cholesterol 
(mg)","Alanine 
(mg/gN)","Arginine 
(mg/gN)","Aspartic acid 
(mg/gN)","Cystine plus cysteine 
(mg/gN)","Glutamic acid 
(mg/gN)","Glycine 
(mg/gN)","Histidine 
(mg/gN)","Isoleucine 
(mg/gN)","Leucine 
(mg/gN)","Lysine 
(mg/gN)","Methionine 
(mg/gN)","Phenylalanine 
(mg/gN)","Proline 
(mg/gN)","Serine 
(mg/gN)","Threonine 
(mg/gN)","Tyrosine 
(mg/gN)","Tryptophan 
(mg/gN)","Valine 
(mg/gN)","Alanine 
(mg)","Arginine 
(mg)","Aspartic acid 
(mg)","Cystine plus cysteine 
(mg)","Glutamic acid 
(mg)","Glycine 
(mg)","Histidine 
(mg)","Isoleucine 
(mg)","Leucine 
(mg)","Lysine 
(mg)","Methionine 
(mg)","Phenylalanine 
(mg)","Proline 
(mg)","Serine 
(mg)","Threonine 
(mg)","Tyrosine 
(mg)","Tryptophan 
(mg)","Valine 
(mg)"
F002258,31302,Borrowed,"Cardamom seed, dried, ground",1236,1012,8.3,10.8,1.72,6.7,5.8,28,0,,,,,,,4.4,0,0,30,,,,,,,,,,,,,,,,34.4,34.4,,,,,,,,,,,,,,,,383,,,,,,0,13.97,,229,,,,,178,1119,11.7,18,,,7.47,0,,22,,22,4,,,,0.198,0.182,1.1,2.64,3.74,,0.23,,0,3,0,3,3,21,0,0,0,0,0,2.8,,,,,,,,2.85,,,,,,,,,,,,,,,,,,,34.34,,,,,,,,,,,,,43.94,,,,15.6,6.1,,,,,,,,,,,,0,,,,,0,,0,21.72,0,,0,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,2.81,,,,1,0.39,,,,,,,,,,,,,0,,0,,,,,0,1.39,0,,0,0,0,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,155,
F002963,31302,Borrowed,"Cinnamon, dried, ground",1004,579,10.6,4,0.64,1.2,3.6,53.1,0,,,,,,,2.2,0,0,25.3,,,,,,,,,,,,,,,,27.5,27.5,,,,,,,,,,,,,,,,1002,,,,,,0.1,8.32,,60,,,,,64,431,3.1,10,,,1.83,0,,112,,112,19,,,,0.022,0.041,1.33,0.83,2.16,,0.16,,0,6,0,6,6,4,0,0,0,0,0,2.3,,,,,,,,2.32,,,,,,,,,,,,,,,,,,,52.35,,,,,,,,,,,,,37.33,,,,6.7,1.7,,,,,,,,,,,,0,,,,,0,,0,10.32,0,,0,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,0.44,,,,0.08,0.02,,,,,,,,,,,,,0,,0,,,,,0,0.12,0,,0,0,0,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,49,
F002893,31302,Borrowed,"Chilli (chili), dried, ground",1224,950,10.8,12.3,2,14.3,8.5,34.2,0,,,,,,,7.2,0,0,5.7,,,,,,,,,,,,,,,,12.9,12.9,,,,,,,,,,,,,,,,278,,,,,,2.3,14.3,,170,,,,,303,1920,8.6,68,,,2.7,0,2090,15000,,16045,2674,,,,0.35,0.79,10,1.09,11.09,,1.9,,0,100,0,100,100,64,0,0,0,0,0,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,23.47,,,,54.6,3.9,,,,,,,,,,,,0,,,,,0,,0,58.53,0,,0,,,,,,,,,,,,,,,,,,,2.06,,,,,,,,,,,,,2.68,,,,6.25,0.45,,,,,,,,,,,,,0,,0,,,,,0,6.7,0,,0,0,0,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,64,
F002970,31302,Borrowed,"Cloves, dried, ground",1389,1118,9.9,6,0.96,13,5.6,33.9,0,,,,,,,2.4,0,0,29.2,,,,,,,,,,,,,,,,31.6,31.6,,,,,,,,,,,,,,,,632,,,,,,50.7,11.83,,259,,,,,104,1020,7.2,277,,,2.32,0,,45,,45,8,,,,0.216,0.22,1.56,0.51,2.07,,0.39,,0,25,0,25,25,0,0,0,0,0,0,8.8,,,,,,,,8.82,,,,,,,,,,,,,,,,,,,44.15,,,,,,,,,,,,,15.56,,,,29.7,6.5,,,,,,,,,,,,0.1,,,,,2,,0,40.45,2.145,,0,,,,,,,,,,,,,,,,,,,5.49,,,,,,,,,,,,,1.93,,,,3.69,0.81,,,,,,,,,,,,,11.06,,255.52,,,,,0,5.03,266.581,,0,0,0,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,30,
F003190,31302,Borrowed,"Coriander seed, dried, ground",1344,1009,8.9,12.4,1.98,17.8,6,41.9,0,,,,,,,2.4,0,0,6.1,,,,,,,,,,,,,,,,8.4,8.4,,,,,,,,,,,,,,,,709,,,,,,2.3,16.32,,330,,,,,409,1267,26.2,35,,,4.7,0,,122,,122,20,,,,0.239,0.29,2.13,3.03,5.16,,0.04,,0,0,0,0,0,21,0,0,0,0,0,0.9,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,6.07,,,,,,,,,,,,,83.21,,,,10.7,0,,,,,,,,,,,,0,,,,,0,,0,10.72,0,,0,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,14.14,,,,1.82,0,,,,,,,,,,,,,0,,0,,,,,0,1.82,0,,0,0,0,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,178,
F003327,31302,Borrowed,"Cumin (cummin) seed, dried, ground",1782,1698,8.1,17.8,2.85,22.3,7.6,10.5,0,,,,,,,2.2,0,0,31.5,,,,,,,,,,,,,,,,33.7,33.7,,,,,,,,,,,,,,,,931,,,,,,13.6,66.36,,366,,,,,499,1788,5.2,168,,,4.8,0,,762,,762,127,,,,0.628,0.327,4.58,4.36,8.94,,0.44,,0,10,0,10,10,8,0,0,0,0,0,3.3,,,,,,,,3.33,,,,,,,,,,,,,,,,,,,8.14,,,,,,,,,,,,,74.47,,,,16.4,0.9,,,,,,,,,,,,0,,,,,0,,0,17.39,0,,0,,,,,,,,,,,,,,,,,,,1.73,,,,,,,,,,,,,15.85,,,,3.5,0.2,,,,,,,,,,,,,0,,0,,,,,0,3.7,0,,0,0,0,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,257,
F003337,31302,Borrowed,Curry powder,1231,805,8.8,14.3,2.29,14,7.1,53.2,0,,,,,,,2.8,0,0,0,,,,,,,,,,,,,,,,2.8,2.8,,,,,,,,,,,,,,,,525,,,,,,0,19.1,,255,,,,,367,1170,40.3,52,,,4.7,0,,11,,11,2,,,,0.176,0.2,3.26,1.85,5.11,,0.1,,0,56,0,56,56,1,0,0,0,0,0,25.2,,,,,,,,25.24,,,,,,,,,,,,,,,,,,,12.22,,,,,,,,,,,,,65.12,,,,20.7,1.9,,,,,,,,,,,,0,,,,,0,,0,22.56,0,,0,,,,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,,8.72,,,,2.77,0.25,,,,,,,,,,,,,0,,0,,,,,0,3.02,0,,0,0,0,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,109,
F003821,31302,Borrowed,"Fenugreek seed, dried",1080,699,8.8,23,3.68,6.4,3.4,47.6,0,,,,,,,0.6,0,0,3.7,,,,,,,,,,,,,,,,4.2,4.2,,,,,,,,,,,,,,,,176,,,,,,2.3,33.53,,191,,,,,296,770,6.3,67,,,2.5,0,,142,,142,24,,,,0.322,0.366,1.64,5.64,7.28,,0.6,,0,57,0,57,57,3,0,0,0,0,0,0,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,16.84,,,,,,,,,,,,,14.65,,,,44.8,23.7,,,,,,,,,,,,0,,,,,0,,0,68.51,0,,0,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,0.9,,,,2.75,1.45,,,,,,,,,,,,,0,,0,,,,,0,4.2,0,,0,0,0,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,332,
